basis,series_id,common_start_date,common_end_date,common_settled_days,annualized_modeled_pnl_mean_to_stdev,limit_delta_ratio,modeled_pnl_es10,total_modeled_pnl,worst_day_modeled_pnl,max_modeled_pnl_drawdown,limit_pnl_per_withheld_mw,rank_eligible,rank,rank_reason,proof_id
full_displayed_history,series-01,2026-01-01,2026-09-17,250,2.9404318247,-0.3492806087,-15558.72894,343449.4829999995,-55795.1574999999,-77844.7199999999,-2.2036363905,true,4,"ordered by frozen risk, limit, tail, fill, and P&L metrics",f8bd316fa0de65704ee473852d16695c591e3b4ae7b3b26d9f939ffd2e5186b1
full_displayed_history,series-02,2026-01-01,2026-09-17,250,3.5557483345,-0.2506046776,-16482.9483,423771.7450000003,-46687.4374999999,-63546.0099999999,-2.2113714191,true,3,"ordered by frozen risk, limit, tail, fill, and P&L metrics",30f3268e50fe18510f3a4f0ad245ebbc4ff99d3e8d0b8b0e20da65395db5c176
full_displayed_history,series-03,2026-01-01,2026-09-17,250,4.0416573864,-0.2432778614,-12126.5738,428601.105,-21567.2125,-78566.3224999999,-2.1854819685,true,1,"ordered by frozen risk, limit, tail, fill, and P&L metrics",11d0306a3a57adfba59c49819127d0d1a944843b597592eb49124f0f0462917f
full_displayed_history,series-04,2026-01-01,2026-09-17,250,3.7405075949,-0.0369469805,-12236.5366,520512.3100000002,-28904.7725,-72686.4400000001,-0.8846708274,true,2,"ordered by frozen risk, limit, tail, fill, and P&L metrics",df60f55e8c80aa502d5fe705ebc7c8ed7bd3e638b9d31d1c8288758985f90dc1
prospective_shadow,series-01,2026-09-12,2026-09-17,4,3.1275537289,0.4721069148,-2195.645,1379.77,-2195.645,-2195.645,0.2022511062,true,4,"ordered by frozen risk, limit, tail, fill, and P&L metrics",7c5913d2b71cd460b9aa5fcfdb1d35793b6fa31971b71f8c18d04e44a99fa57c
prospective_shadow,series-02,2026-09-12,2026-09-17,4,13.7550578392,0.5055875999,284.3675,4295.435,284.3675,0,0.1991332117,true,2,"ordered by frozen risk, limit, tail, fill, and P&L metrics",788d5d60f00f5f4246d83593dee76565e8a9641377f8067003f6367e5d2ed371
prospective_shadow,series-03,2026-09-12,2026-09-17,4,28.3243513735,0.5707406749,683.08,10062.175,683.08,0,0.2551458333,true,1,"ordered by frozen risk, limit, tail, fill, and P&L metrics",be3d9c57e983e36ebaa511cd90ca99e21a2e609641a0f9c6b4c7112895dd8178
prospective_shadow,series-04,2026-09-12,2026-09-17,4,12.6945732732,0.4060384328,235.6675,4984.215,235.6675,0,0.1807667732,true,3,"ordered by frozen risk, limit, tail, fill, and P&L metrics",b5ead819c721d2e044cc94b4697bb15a185322d4c5067c32c9cccfbd3c16cb2a
2026_h1,series-01,2026-01-01,2026-06-30,176,3.629536732,-0.4602151512,-13767.9479722222,293895.7629999995,-24046.585,-47521.6425,-2.3865416597,true,1,"ordered by frozen risk, limit, tail, fill, and P&L metrics",202bd79142aa6b961db46e6ca2b439a5db7bc5aa5372123f9fb2fe34f119fca1
2026_h1,series-02,2026-01-01,2026-06-30,176,3.5975661963,-0.2958097448,-16817.9904166667,319675.7950000002,-39222.5825,-55855.945,-2.2520138073,true,2,"ordered by frozen risk, limit, tail, fill, and P&L metrics",596710553f6eb2a0116bb2aa3fcffbdb7be7188d77c61be7d20f2cba48102403
2026_h1,series-03,2026-01-01,2026-06-30,176,3.3645362083,-0.2808525149,-12933.4223611111,283578.6475,-21567.2125,-78566.3224999999,-2.2703980522,true,3,"ordered by frozen risk, limit, tail, fill, and P&L metrics",e0d6d4e08b656d8e29d33fa8aa3294ac4f02c12e5b5876d4ebc261c2c8cf773b
2026_h1,series-04,2026-01-01,2026-06-30,176,3.1855276792,-0.075048541,-12886.3823611111,355247.0350000001,-28904.7725,-72686.4400000001,-0.9916740916,true,4,"ordered by frozen risk, limit, tail, fill, and P&L metrics",0ee1eebed56a381049807082e71dc03c14369939ef75dd2a796600bfb54ffe09
2026_h2_to_date,series-01,2026-07-01,2026-09-17,74,1.3808525429,-0.0312157657,-18373.839375,49553.7200000001,-55795.1574999999,-77844.7199999999,-0.5154475841,true,4,"ordered by frozen risk, limit, tail, fill, and P&L metrics",3bcd4925a74b70c277ae62c7a8913005db21b4d1800f8393d557169d075602f9
2026_h2_to_date,series-02,2026-07-01,2026-09-17,74,3.4760052236,-0.1418104668,-13261.6071875,104095.9500000002,-46687.4374999999,-63546.0099999998,-1.7317411402,true,3,"ordered by frozen risk, limit, tail, fill, and P&L metrics",894273ba9eac8e9aa79bc850c0ba7296e7e6e9f7954abb74611af4acb8c3e42e
2026_h2_to_date,series-03,2026-07-01,2026-09-17,74,7.7633359762,-0.1785289946,-8011.3184375,145022.4575,-14839.9625,-31065.4725,-1.6643667345,true,1,"ordered by frozen risk, limit, tail, fill, and P&L metrics",869917c18ba8a18907244feafaab38b95eaddf39c93e5ecfdf91851e71a3a77a
2026_h2_to_date,series-04,2026-07-01,2026-09-17,74,7.274635589,0.0642649549,-9331.1634375,165265.2750000001,-14779.6625,-36863.835,0.6285790885,true,2,"ordered by frozen risk, limit, tail, fill, and P&L metrics",5048c05fddaa04edac69b5cca9089e56795c62c0f8d6b423666f139d4e5a64b2
